First, Mid, Last, Full, Region
Russell, NMN, Kenneth-Martin, Russell Kenneth-Martin, AU
Barack, NMN, Obama, Barack Obama, US
Angela, Dorothea, Merkel, Angela Merkel, DE
靜如, NMN, 吳, 吳靜如, TW
子杰, NMN, 林, 林子杰, TW
沛成, NMN, 歐陽, 歐陽沛成, TW
青, NMN, 陳, 陳青, TW
鵬, NMN, 粘, 粘鵬, CN
𣫺修, NMN, 陳, 陳𣫺修, TW
䋚画, NMN, 張, 張䋚画, TW
拓哉, NMN, 木村, 木村拓哉, JP
たくや, NMN, きむら, きむら たくや, JP
真綾, NMN, 坂本, 坂本真綾, JP
まあや, NMN, さかもと, さかもと まあや, JP
Maaya, NMN, Sakamoto, Sakamoto Maaya, JP
五十六, NMN, 山本, 山本五十六, JP
いそろく, NMN, やまもと, やまもと いそろく, JP
地哲, NMN, 孔, 孔地哲, KR
지철, NMN, 공, 공지철, KR
秀安, NMN, 金, 金秀安, KR
수안, NMN, 김, 김수안, KR
खान, NMN, आमिर, आमिर खान, IN
खान, हुसैन, आमिर, आमिर हुसैन खान, IN
wo'rIv, NMN, son of Mogh, wo'rIv, Klingon
Kjellberg, Arvid Ulf, Felix, Felix Arvid Ulf Kjellberg, SE
Ibrahimović, NMN, Zlatan, Ibrahimović Zlatan, MX
Nieto, Peña, Enrique, Enrique Peña Nieto, MX
Recep Tayyip, NMN, Erdoğan, Recep Tayyip Erdoğan, TR
Janet, NMN, Akyüz Mattei, Janet Akyüz Mattei, TR
อาทิวราห์, 'Toon', คงมาลัย, อาทิวราห์ คงมาลัย, TH
Artiwara, 'Toon', Kongmalai, Artiwara 'Toon' Kongmalai, TH
Gabriel, NMN, García Márquez, Gabriel García Márquez, ES
Adriana, NMN, Sklenaříková, Adriana Sklenaříková, SK
Miroslav, NMN, Šatan, Miroslav Šatan, SK
Vladimir, PTY Vladimirovich, Putin, Vladimir Vladimirovich Putin, RU
Влади́мир, PTY Влади́мирович, Пу́тин, Влади́мир Влади́мирович Пу́тин, RU
Alisa, PTY Zinov'yevna, Rosenbaum, Alisa Zinov'yevna Rosenbaum, RU
Али́са, PTY Зино́вьевна, Розенба́ум, Али́са Зино́вьевна Розенба́ум, RU
Ольга, PTY Витальевна, Яковлева, Ольга Витальевна Яковлева, RU
Милица, PTY Богдановна, Йовович, Милица Богдановна Йовович, UA
Симо́н, NMN, Визента́ль, Симо́н Визента́ль, AT
Răzvan, NMN, Lucescu, Răzvan Lucescu, RO
Abdul Samad, PTY bin Mohamed, Said, Abdul Samad bin Mohamed Said, MY
Jaclyn, PTY Joshua Thanaraj Victor, , Jaclyn Victor, MY
Cristiano Ronaldo, NMN, Santos Aveiro, Cristiano Ronaldo dos Santos Aveiro, PT
Jacques René, NMN, Chirac, Jacques René Chirac, FR
Jacques-Yves, NMN, Cousteau, Jacques-Yves Cousteau, FR
Willy Geertje, NMN, van Ammelrooij, Willy Geertje van Ammelrooij, NL
Armin, NMN, van Buuren, Armin van Buuren, NL
